"Characteristic","Bitcoin price index in U.S. dollars"
"Jun 21, 2022","20,710.6"
"Jun 20, 2022","20,599.54"
"Jun 19, 2022","20,553.27"
"Jun 18, 2022","19,017.64"
"Jun 17, 2022","20,471.48"
"Jun 16, 2022","20,381.65"
"Jun 15, 2022","22,572.84"
"Jun 14, 2022","22,206.79"
"Jun 13, 2022","22,487.39"
"Jun 12, 2022","26,762.65"
"Jun 11, 2022","28,360.81"
"Jun 10, 2022","29,083.8"
"Jun 9, 2022","30,112"
"Jun 8, 2022","30,214.36"
"Jun 7, 2022","31,155.48"
"Jun 6, 2022","31,370.67"
"Jun 5, 2022","29,906.66"
"Jun 4, 2022","29,832.91"
"Jun 3, 2022","29,704.39"
"Jun 2, 2022","30,467.49"
"Jun 1, 2022","29,799.08"
"May 31, 2022","31,792.31"
"May 30, 2022","31,726.39"
"May 29, 2022","29,445.96"
"May 28, 2022","28,814.9"
"May 27, 2022","28,627.57"
"May 26, 2022","29,267.22"
"May 25, 2022","29,562.36"
"May 24, 2022","29,655.59"
"May 23, 2022","29,098.91"
"May 22, 2022","30,323.72"
"May 21, 2022","29,432.23"
"May 20, 2022","29,200.74"
"May 19, 2022","30,314.33"
"May 18, 2022","28,720.27"
"May 17, 2022","30,425.86"
"May 16, 2022","29,862.92"
"May 15, 2022","31,305.11"
"May 14, 2022","30,101.27"
"May 13, 2022","29,283.1"
"May 12, 2022","29,047.75"
"May 11, 2022","28,936.36"
"May 10, 2022","31,022.91"
"May 9, 2022","30,296.95"
"May 8, 2022","34,059.27"
"May 7, 2022","35,501.95"
"May 6, 2022","36,040.92"
"May 5, 2022","36,575.14"
"May 4, 2022","39,698.37"
"May 3, 2022","37,750.45"
"May 2, 2022","38,529.33"
"May 1, 2022","38,469.09"
"Apr 30, 2022","37,714.88"
"Apr 29, 2022","38,609.82"
"Apr 28, 2022","39,773.83"
"Apr 27, 2022","39,241.12"
"Apr 26, 2022","38,117.46"
"Apr 25, 2022","40,458.31"
"Apr 24, 2022","39,469.29"
"Apr 23, 2022","39,486.73"
"Apr 22, 2022","39,740.32"
"Apr 21, 2022","40,527.36"
"Apr 20, 2022","41,374.38"
"Apr 19, 2022","41,502.75"
"Apr 18, 2022","40,826.21"
"Apr 17, 2022","39,716.95"
"Apr 16, 2022","40,424.48"
"Apr 15, 2022","40,553.46"
"Apr 14, 2022","39,935.52"
"Apr 13, 2022","41,166.73"
"Apr 12, 2022","40,127.18"
"Apr 11, 2022","39,521.9"
"Apr 10, 2022","42,207.67"
"Apr 9, 2022","42,782.14"
"Apr 8, 2022","42,287.66"
"Apr 7, 2022","43,503.85"
"Apr 6, 2022","43,206.74"
"Apr 5, 2022","45,555.99"
"Apr 4, 2022","46,622.68"
"Apr 3, 2022","46,453.57"
"Apr 2, 2022","45,868.95"
"Apr 1, 2022","46,281.64"
"Mar 31, 2022","45,538.68"
"Mar 30, 2022","47,062.66"
"Mar 29, 2022","47,465.73"
"Mar 28, 2022","47,128"
"Mar 27, 2022","46,820.49"
"Mar 26, 2022","44,500.83"
"Mar 25, 2022","44,348.73"
"Mar 24, 2022","43,960.93"
"Mar 23, 2022","42,892.96"
"Mar 22, 2022","42,358.81"
"Mar 21, 2022","41,078"
"Mar 20, 2022","41,247.82"
"Mar 19, 2022","42,190.65"
"Mar 18, 2022","41,801.16"
"Mar 17, 2022","40,951.38"
"Mar 16, 2022","41,143.93"
"Mar 15, 2022","39,338.79"
"Mar 14, 2022","39,666.75"
"Mar 13, 2022","37,849.66"
"Mar 12, 2022","38,904.01"
"Mar 11, 2022","38,794.97"
"Mar 10, 2022","39,437.46"
"Mar 9, 2022","41,982.93"
"Mar 8, 2022","38,737.27"
"Mar 7, 2022","38,062.04"
"Mar 6, 2022","38,419.98"
"Mar 5, 2022","39,400.59"
"Mar 4, 2022","39,137.61"
"Mar 3, 2022","42,451.79"
"Mar 2, 2022","43,924.12"
"Mar 1, 2022","44,354.64"
"Feb 28, 2022","43,193.23"
"Feb 27, 2022","37,709.79"
"Feb 26, 2022","39,105.15"
"Feb 25, 2022","39,214.22"
"Feb 24, 2022","38,332.61"
"Feb 23, 2022","37,296.57"
"Feb 22, 2022","38,286.03"
"Feb 21, 2022","37,075.28"
"Feb 20, 2022","38,431.38"
"Feb 19, 2022","40,122.16"
"Feb 18, 2022","40,030.98"
"Feb 17, 2022","40,538.01"
"Feb 16, 2022","43,961.86"
"Feb 15, 2022","44,575.2"
"Feb 14, 2022","42,586.92"
"Feb 13, 2022","42,197.52"
"Feb 12, 2022","42,244.47"
"Feb 11, 2022","42,407.94"
"Feb 10, 2022","43,565.11"
"Feb 9, 2022","44,338.8"
"Feb 8, 2022","44,118.45"
"Feb 7, 2022","43,840.29"
"Feb 6, 2022","42,412.43"
"Feb 5, 2022","41,441.16"
"Feb 4, 2022","41,500.88"
"Feb 3, 2022","37,154.6"
"Feb 2, 2022","36,952.98"
"Feb 1, 2022","38,743.27"
"Jan 31, 2022","38,483.12"
"Jan 30, 2022","37,917.6"
"Jan 29, 2022","38,138.18"
"Jan 28, 2022","37,784.33"
"Jan 27, 2022","37,138.23"
"Jan 26, 2022","36,852.12"
"Jan 25, 2022","36,954"
"Jan 24, 2022","36,654.33"
"Jan 23, 2022","36,276.8"
"Jan 22, 2022","35,030.25"
"Jan 21, 2022","36,457.32"
"Jan 20, 2022","40,680.42"
"Jan 19, 2022","41,744.33"
"Jan 18, 2022","42,375.63"
"Jan 17, 2022","42,250.55"
"Jan 16, 2022","43,113.88"
"Jan 15, 2022","43,177.4"
"Jan 14, 2022","43,099.7"
"Jan 13, 2022","42,591.57"
"Jan 12, 2022","43,949.1"
"Jan 11, 2022","42,735.86"
"Jan 10, 2022","41,821.26"
"Jan 9, 2022","41,911.6"
"Jan 8, 2022","41,733.94"
"Jan 7, 2022","41,557.9"
"Jan 6, 2022","43,160.93"
"Jan 5, 2022","43,569"
"Jan 4, 2022","45,897.57"
"Jan 3, 2022","46,458.12"
"Jan 2, 2022","47,345.22"
"Jan 1, 2022","47,686.81"
"Dec 31, 2021","46,306.45"
"Dec 30, 2021","47,178.12"
"Dec 29, 2021","46,444.71"
"Dec 28, 2021","47,588.86"
"Dec 27, 2021","50,640.42"
"Dec 26, 2021","50,809.52"
"Dec 25, 2021","50,429.86"
"Dec 24, 2021","50,822.2"
"Dec 23, 2021","50,784.54"
"Dec 22, 2021","48,628.51"
"Dec 21, 2021","48,936.61"
"Dec 20, 2021","46,880.28"
"Dec 19, 2021","46,707.02"
"Dec 18, 2021","46,848.78"
"Dec 17, 2021","46,202.14"
"Dec 16, 2021","47,665.43"
"Dec 15, 2021","48,896.72"
"Dec 14, 2021","46,612.63"
"Dec 13, 2021","46,737.48"
"Dec 12, 2021","50,098.34"
"Dec 11, 2021","49,362.51"
"Dec 10, 2021","47,243.3"
"Dec 9, 2021","47,672.12"
"Dec 8, 2021","50,504.8"
"Dec 7, 2021","50,700.09"
"Dec 6, 2021","50,582.62"
"Dec 5, 2021","49,368.85"
"Dec 4, 2021","49,200.7"
"Dec 3, 2021","53,598.25"
"Dec 2, 2021","56,477.82"
"Dec 1, 2021","57,229.83"
"Nov 30, 2021","57,005.43"
"Nov 29, 2021","57,806.57"
"Nov 28, 2021","57,248.46"
"Nov 27, 2021","54,815.08"
